epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1207.54,0.56471,0.81646,0.42179,0.93394,0.96993,0.95804,0.96592,0.79083,0.9599,0.94814,0.94819,0.70322,0.67395,1.00428,0.46428,0.98915,0.0003466,0.0003466,0.0003466
68,1225.48,0.56966,0.78669,0.41614,0.932,0.96028,0.9604,0.9654,0.78928,0.96028,0.9604,0.9654,0.70983,0.6819,1.01868,0.42915,0.99512,0.0003367,0.0003367,0.0003367
69,1241.58,0.55917,0.8042,0.40865,0.93575,0.94521,0.94059,0.95274,0.77793,0.9553,0.9505,0.96465,0.71489,0.71549,1.05041,0.457,0.99632,0.0003268,0.0003268,0.0003268
70,1262.89,0.55978,0.81261,0.40954,0.92777,0.93779,0.9505,0.95214,0.77252,0.94756,0.9604,0.96413,0.71285,0.7035,1.02774,0.4544,0.99079,0.0003169,0.0003169,0.0003169
71,1282.31,0.5583,0.79774,0.40991,0.92849,0.95593,0.9604,0.96341,0.78818,0.95593,0.9604,0.96341,0.73321,0.65484,0.99806,0.44322,0.96154,0.000307,0.000307,0.000307
72,1298.86,0.55586,0.80963,0.40329,0.92658,0.92904,0.9505,0.95288,0.7881,0.92904,0.9505,0.94988,0.71976,0.68885,0.95038,0.44152,0.96763,0.0002971,0.0002971,0.0002971
73,1316.49,0.54769,0.81049,0.40045,0.93017,0.96583,0.94059,0.967,0.80492,0.96583,0.94059,0.967,0.72362,0.67483,1.06701,0.44536,0.9947,0.0002872,0.0002872,0.0002872
74,1334.21,0.54309,0.79375,0.39674,0.92844,0.95804,0.94059,0.96357,0.80651,0.96812,0.9505,0.97237,0.72922,0.64927,0.95147,0.41539,0.95988,0.0002773,0.0002773,0.0002773
75,1351.77,0.55261,0.80155,0.40989,0.93596,0.9671,0.9505,0.97276,0.80346,0.9671,0.9505,0.97427,0.72487,0.65879,0.96745,0.41556,0.97523,0.0002674,0.0002674,0.0002674
76,1369.33,0.53407,0.77745,0.3969,0.92574,0.96956,0.94618,0.96611,0.79014,0.95942,0.93628,0.95234,0.71193,0.64973,1.04069,0.45329,0.9527,0.0002575,0.0002575,0.0002575
77,1386.82,0.53747,0.77513,0.39104,0.92573,0.96807,0.9604,0.96544,0.79522,0.958,0.9505,0.94943,0.70685,0.65463,1.04391,0.45561,0.94695,0.0002476,0.0002476,0.0002476
78,1403.81,0.52231,0.81117,0.38595,0.91953,0.95992,0.94849,0.96371,0.79704,0.95992,0.94849,0.96371,0.71127,0.66549,1.09888,0.44309,0.95901,0.0002377,0.0002377,0.0002377
79,1420.46,0.53815,0.78773,0.39625,0.92682,0.96654,0.9604,0.96405,0.7846,0.95657,0.9505,0.94685,0.69318,0.67505,0.98272,0.4415,0.97546,0.0002278,0.0002278,0.0002278
80,1438.81,0.51735,0.76055,0.37984,0.91742,0.95994,0.94904,0.95439,0.79574,0.96996,0.95894,0.966,0.7097,0.67835,0.98151,0.42685,0.98018,0.0002179,0.0002179,0.0002179
81,1455.51,0.54609,0.75997,0.39781,0.93446,0.95552,0.94059,0.9547,0.79705,0.96558,0.9505,0.96569,0.71636,0.66695,0.99813,0.41346,0.97297,0.000208,0.000208,0.000208
82,1473.18,0.53234,0.77298,0.38755,0.9239,0.93132,0.9398,0.94909,0.78385,0.94113,0.9497,0.96116,0.70534,0.66078,1.0283,0.43636,0.96708,0.0001981,0.0001981,0.0001981
83,1490.18,0.52308,0.75974,0.38676,0.91699,0.96596,0.9505,0.9663,0.80083,0.95581,0.94059,0.95619,0.70777,0.6775,1.01575,0.41984,0.9723,0.0001882,0.0001882,0.0001882
84,1511.8,0.51783,0.79068,0.38094,0.91725,0.94053,0.94059,0.95969,0.80439,0.95049,0.95042,0.97026,0.72879,0.65587,1.00508,0.42945,0.96199,0.0001783,0.0001783,0.0001783
85,1532.19,0.51172,0.76947,0.38041,0.9157,0.94999,0.94047,0.95738,0.79637,0.95999,0.95029,0.96814,0.71578,0.64258,0.95705,0.45235,0.93842,0.0001684,0.0001684,0.0001684
86,1548.86,0.51144,0.77405,0.37931,0.91568,0.95714,0.94059,0.95488,0.79832,0.96722,0.9505,0.96899,0.7058,0.65715,0.9402,0.42162,0.96981,0.0001585,0.0001585,0.0001585
87,1564.99,0.52246,0.77422,0.37788,0.91784,0.9476,0.94059,0.95609,0.79314,0.95757,0.9505,0.96633,0.70842,0.65604,0.93339,0.44015,0.97884,0.0001486,0.0001486,0.0001486
88,1582.28,0.515,0.76943,0.37621,0.91394,0.95643,0.9505,0.9643,0.79203,0.95643,0.9505,0.96622,0.71612,0.66472,0.95256,0.44202,0.96374,0.0001387,0.0001387,0.0001387
89,1599.66,0.51286,0.74444,0.37259,0.91367,0.96855,0.9604,0.9692,0.80313,0.96855,0.9604,0.9692,0.71156,0.64106,0.97585,0.40348,0.96079,0.0001288,0.0001288,0.0001288
90,1618.21,0.5042,0.75127,0.366,0.91464,0.96008,0.9604,0.97057,0.80438,0.96008,0.9604,0.97057,0.71713,0.62155,1.00207,0.43041,0.93969,0.0001189,0.0001189,0.0001189
91,1674.91,0.47679,0.64896,0.36434,0.91176,0.94918,0.9246,0.95885,0.78648,0.94918,0.9246,0.95004,0.70956,0.67538,0.96355,0.4222,0.96646,0.000109,0.000109,0.000109
92,1691.61,0.46147,0.63207,0.35502,0.90847,0.95663,0.9505,0.97024,0.81641,0.95663,0.9505,0.97024,0.73662,0.6117,0.93623,0.42864,0.92771,9.91e-05,9.91e-05,9.91e-05
93,1707.79,0.45836,0.61392,0.34882,0.90564,0.9695,0.9505,0.97068,0.8062,0.9695,0.9505,0.97068,0.73056,0.62707,0.96479,0.42113,0.94551,8.92e-05,8.92e-05,8.92e-05
94,1724.09,0.44473,0.61059,0.34087,0.89264,0.96714,0.9505,0.96533,0.80367,0.95707,0.94059,0.94642,0.72724,0.62392,0.99112,0.42352,0.947,7.93e-05,7.93e-05,7.93e-05
95,1740.72,0.44522,0.59862,0.33562,0.90852,0.95955,0.9505,0.96561,0.80318,0.94949,0.94059,0.94754,0.72143,0.63614,0.98287,0.42123,0.96866,6.94e-05,6.94e-05,6.94e-05
96,1757.24,0.4395,0.58576,0.327,0.89483,0.97505,0.9505,0.96738,0.81905,0.97505,0.9505,0.96738,0.7399,0.60958,0.93731,0.39918,0.95087,5.95e-05,5.95e-05,5.95e-05
97,1773.35,0.43755,0.59823,0.33767,0.90585,0.9698,0.95376,0.96779,0.81511,0.95974,0.94402,0.95172,0.73533,0.61345,0.93656,0.41029,0.9459,4.96e-05,4.96e-05,4.96e-05
98,1791.81,0.43283,0.59111,0.33371,0.89522,0.96657,0.9505,0.96721,0.81562,0.9565,0.94059,0.95063,0.73436,0.63393,0.96123,0.40218,0.9609,3.97e-05,3.97e-05,3.97e-05
99,1811.73,0.42418,0.57515,0.32606,0.88776,0.96463,0.9505,0.96664,0.81368,0.96463,0.9505,0.96664,0.74089,0.62411,0.96139,0.40322,0.95615,2.98e-05,2.98e-05,2.98e-05
100,1834.44,0.41869,0.58314,0.32252,0.88815,0.96969,0.95015,0.96726,0.81171,0.96969,0.95015,0.96726,0.73874,0.61446,0.97026,0.41559,0.94217,1.99e-05,1.99e-05,1.99e-05
